=== iperf3 server TEST START 2025-11-29 20:58:37 ===
[  5] local 172.17.0.101 port 20000 connected to 172.17.0.103 port 20001
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec   117 KBytes   961 Kbits/sec  0.028 ms  0/83 (0%)  
[  5]   1.00-2.00   sec   122 KBytes   996 Kbits/sec  0.048 ms  0/86 (0%)  
[  5]   2.00-3.00   sec   123 KBytes  1.01 Mbits/sec  0.017 ms  0/87 (0%)  
[  5]   3.00-4.00   sec   122 KBytes   996 Kbits/sec  0.037 ms  0/86 (0%)  
[  5]   4.00-5.00   sec   122 KBytes   996 Kbits/sec  0.072 ms  0/86 (0%)  
[  5]   5.00-6.00   sec   123 KBytes  1.01 Mbits/sec  0.059 ms  0/87 (0%)  
[  5]   6.00-7.00   sec   122 KBytes   996 Kbits/sec  0.016 ms  0/86 (0%)  
[  5]   7.00-8.00   sec   122 KBytes   996 Kbits/sec  0.028 ms  0/86 (0%)  
[  5]   8.00-9.00   sec   123 KBytes  1.01 Mbits/sec  0.062 ms  0/87 (0%)  
[  5]   9.00-10.00  sec   122 KBytes   996 Kbits/sec  0.046 ms  0/86 (0%)  
[  5]  10.00-11.00  sec   122 KBytes   996 Kbits/sec  0.080 ms  0/86 (0%)  
[  5]  11.00-12.00  sec   123 KBytes  1.01 Mbits/sec  0.054 ms  0/87 (0%)  
[  5]  12.00-13.00  sec   122 KBytes   996 Kbits/sec  0.059 ms  0/86 (0%)  
[  5]  13.00-14.00  sec   122 KBytes   996 Kbits/sec  0.058 ms  0/86 (0%)  
[  5]  14.00-15.00  sec   123 KBytes  1.01 Mbits/sec  0.016 ms  0/87 (0%)  
[  5]  15.00-16.00  sec   122 KBytes   996 Kbits/sec  0.034 ms  0/86 (0%)  
[  5]  16.00-17.00  sec   122 KBytes   996 Kbits/sec  0.078 ms  0/86 (0%)  
[  5]  17.00-18.00  sec   123 KBytes  1.01 Mbits/sec  0.034 ms  0/87 (0%)  
[  5]  18.00-19.00  sec   122 KBytes   996 Kbits/sec  0.027 ms  0/86 (0%)  
[  5]  19.00-20.00  sec   122 KBytes   996 Kbits/sec  0.064 ms  0/86 (0%)  
[  5]  20.00-21.00  sec   123 KBytes  1.01 Mbits/sec  0.066 ms  0/87 (0%)  
[  5]  21.00-22.00  sec   122 KBytes   996 Kbits/sec  0.030 ms  0/86 (0%)  
[  5]  22.00-23.00  sec   122 KBytes   996 Kbits/sec  0.049 ms  0/86 (0%)  
[  5]  23.00-24.00  sec   123 KBytes  1.01 Mbits/sec  0.028 ms  0/87 (0%)  
[  5]  24.00-25.00  sec   122 KBytes   996 Kbits/sec  0.032 ms  0/86 (0%)  
[  5]  25.00-26.00  sec   122 KBytes   996 Kbits/sec  0.048 ms  0/86 (0%)  
[  5]  26.00-27.00  sec   123 KBytes  1.01 Mbits/sec  0.033 ms  0/87 (0%)  
[  5]  27.00-28.00  sec   122 KBytes   996 Kbits/sec  0.058 ms  0/86 (0%)  
[  5]  28.00-29.00  sec   122 KBytes   996 Kbits/sec  0.052 ms  0/86 (0%)  
[  5]  29.00-30.00  sec   123 KBytes  1.01 Mbits/sec  0.065 ms  0/87 (0%)  
[  5]  30.00-31.00  sec   122 KBytes   996 Kbits/sec  0.034 ms  0/86 (0%)  
[  5]  31.00-32.00  sec   122 KBytes   996 Kbits/sec  0.055 ms  0/86 (0%)  
[  5]  32.00-33.00  sec   123 KBytes  1.01 Mbits/sec  0.048 ms  0/87 (0%)  
[  5]  33.00-34.00  sec   122 KBytes   996 Kbits/sec  0.030 ms  0/86 (0%)  
